,Time,Angle 1,Angle 2,Angle 3,Angle 4,Angle 5,Angle 6,Power
210,2.532,-29.3868,-82.3723,72.3869,0.00291845,-37.3346,180.011,5587.470378953226
211,2.544,-29.4038,-82.7376,70.7753,0.00289463,-37.5122,180.011,4541.1138476401575
212,2.556,-29.4314,-83.1019,69.1676,0.00290164,-37.6893,180.011,3811.3890743018724
213,2.568,-29.4734,-83.4654,67.5639,0.0028995,-37.8659,180.011,4970.816352425694
214,2.58,-29.5343,-83.8271,65.9677,0.00290015,-38.0417,180.011,5445.2181068108775
215,2.592,-29.6192,-84.1865,64.3825,0.00289995,-38.2164,180.011,5068.025960691128
216,2.6039999999999996,-29.7339,-84.54299999999999,62.8095,0.00290001,-38.3896,180.011,6002.363749219645
217,2.616,-29.8845,-84.8964,61.2501,0.0029,-38.5614,180.011,5170.999197767063
218,2.628,-30.076999999999998,-85.2458,59.7088,0.0029,-38.7312,180.011,3631.7645143941922
219,2.64,-30.3178,-85.5904,58.1884,0.0029,-38.8987,180.011,3685.797700386874
220,2.6519999999999997,-30.6132,-85.9297,56.6914,0.0029,-39.0635,180.011,2636.358770794112
221,2.6639999999999997,-30.9696,-86.2627,55.2221,0.0029,-39.2254,180.011,2048.582748256649
222,2.676,-31.3939,-86.589,53.7825,0.0029,-39.384,180.011,2891.361674556838
223,2.688,-31.8929,-86.9074,52.3781,0.0029,-39.5387,180.011,2774.7482503638757
224,2.7,-32.4726,-87.2163,51.0148,0.0029,-39.6888,180.011,2842.5782545979596
225,2.7119999999999997,-33.1393,-87.5149,49.6977,0.0029,-39.8339,180.011,3854.392008481114
226,2.7239999999999998,-33.8974,-87.8011,48.4345,0.0029,-39.973,180.011,2630.9410669020954
227,2.736,-34.7495,-88.0731,47.2347,0.0029,-40.1052,180.011,2449.8346299505765
228,2.748,-35.6959,-88.3286,46.1076,0.0029,-40.2294,180.011,2206.70701053516
229,2.76,-36.734,-88.5655,45.0624,0.0029,-40.3445,180.011,1112.6447370971482
230,2.772,-37.8567,-88.7818,44.108000000000004,0.0029,-40.4497,180.011,1207.7989134922325
231,2.784,-39.0574,-88.9767,43.2481,0.0029,-40.5444,180.011,1612.9006460831945
232,2.7960000000000003,-40.3279,-89.1499,42.4838,0.0029,-40.6286,180.011,1759.353225696784
233,2.8080000000000003,-41.6588,-89.3017,41.8139,0.0029,-40.7024,180.011,2128.2810035386337
234,2.82,-43.0433,-89.4333,41.2337,0.0029,-40.7662,180.011,2831.0835703927446
235,2.832,-44.4742,-89.5458,40.736999999999995,0.0029,-40.821,180.011,3043.480522105186
236,2.844,-45.9474,-89.6412,40.3159,0.0029,-40.8674,180.011,3308.9050531292914
237,2.8560000000000003,-47.4579,-89.7214,39.9623,0.0029,-40.9063,180.011,3744.4597434392504
238,2.8680000000000003,-48.9992,-89.7879,39.6693,0.0029,-40.9385,180.011,3482.6582964345466
239,2.88,-50.5693,-89.8422,39.4295,0.0029,-40.9649,180.011,3130.6071559728252
240,2.892,-52.1653,-89.88600000000001,39.2362,0.0029,-40.9863,180.011,2978.6055032419886
241,2.904,-53.7816,-89.9206,39.0837,0.0029,-41.0031,180.011,2822.490073347251
242,2.9160000000000004,-55.416000000000004,-89.9472,38.9659,0.0029,-41.0161,180.011,3123.5220031701165
243,2.928,-57.0644,-89.9673,38.8774,0.0029,-41.0258,180.011,3238.190095907993
244,2.94,-58.7248,-89.9818,38.8133,0.0029,-41.0329,180.011,3637.3309688021595
245,2.952,-60.3945,-89.9919,38.7689,0.0029,-41.0378,180.011,4017.5154323551264
246,2.964,-62.0706,-89.9985,38.74,0.0029,-41.0409,180.011,3984.5184736784577
247,2.9760000000000004,-63.75,-90.0024,38.7225,0.0029,-41.0429,180.011,4358.6526239993445
248,2.988,-65.4295,-90.0046,38.7128,0.0029,-41.0439,180.011,3930.1302205827005
249,3.0,-67.1093,-90.0056,38.7083,0.0029,-41.0444,180.011,3769.1192062221703
250,3.012,-68.789,-90.0061,38.7065,0.0029,-41.0446,180.011,4144.52524543947
251,3.0239999999999996,-70.4696,-90.0061,38.7061,0.0029,-41.0447,180.011,3645.2377953566634
252,3.036,-72.15,-90.0061,38.7061,0.0029,-41.0447,180.011,3610.8885163032833
253,3.048,-73.8302,-90.0061,38.7061,0.0029,-41.0447,180.011,3584.446158030912
254,3.06,-75.5093,-90.0061,38.7061,0.0029,-41.0447,180.011,3509.607721394865
255,3.072,-77.1898,-90.0061,38.7061,0.0029,-41.0447,180.011,3437.44076261434
256,3.0839999999999996,-78.87,-90.0061,38.7062,0.0029,-41.0447,180.011,2789.2030835057703
257,3.096,-80.5497,-90.006,38.7064,0.0029,-41.0446,180.011,2576.984437304427
258,3.108,-82.2296,-90.0058,38.7074,0.0029,-41.0446,180.011,2044.7886378290425
259,3.12,-83.9093,-90.005,38.7104,0.0029,-41.0445,180.011,1992.5672498025447
260,3.1319999999999997,-85.5893,-90.0034,38.717,0.0029,-41.0442,180.011,2288.2480866495785
261,3.1439999999999997,-87.2689,-90.0003,38.7294,0.0029,-41.0436,180.011,2347.7470507154953
262,3.156,-88.9501,-89.9949,38.7502,0.0029,-41.0427,180.011,2561.3877363933007
263,3.168,-90.6291,-89.9867,38.7827,0.0029,-41.0413,180.011,2453.4640926279053
264,3.18,-92.3068,-89.9745,38.830999999999996,0.0029,-41.0391,180.011,2272.8997061756386
